date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:15:23	106279/106279	---M-Z	200	added ('OK')	text/html	date:Mon,%2011%20Jan%202021%2001:15:54%20GMT	https://html.spiderthemes-demos.com/kbdoc/kbdoc-html/index.html	D:/My%20Web%20Sites/kbDoc/html.spiderthemes-demos.com/kbdoc/kbdoc-html/index.html	(from )
12:15:24	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2010%20Mar%202023%2005:15:25%20GMT	https://html.spiderthemes-demos.com/robots.txt		(from )
12:15:25	107787/107787	---M-Z	200	added ('OK')	image/x-icon	date:Sat,%2014%20Nov%202020%2019:33:58%20GMT	https://html.spiderthemes-demos.com/kbdoc/kbdoc-html/img/favicon.ico	D:/My%20Web%20Sites/kbDoc/html.spiderthemes-demos.com/kbdoc/kbdoc-html/img/favicon.ico	(from https://html.spiderthemes-demos.com/kbdoc/kbdoc-html/index.html)
12:15:25	155764/155764	---M-Z	200	added ('OK')	text/css	date:Wed,%2029%20Jul%202020%2005:37:46%20GMT	https://html.spiderthemes-demos.com/kbdoc/kbdoc-html/assets/bootstrap/css/bootstrap.min.css	D:/My%20Web%20Sites/kbDoc/html.spiderthemes-demos.com/kbdoc/kbdoc-html/assets/bootstrap/css/bootstrap.min.css	(from https://html.spiderthemes-demos.com/kbdoc/kbdoc-html/index.html)
12:15:25	26396/26396	---M-Z	200	added ('OK')	text/css	date:Wed,%2029%20Jul%202020%2005:37:46%20GMT	https://html.spiderthemes-demos.com/kbdoc/kbdoc-html/assets/elagent-icon/style.css	D:/My%20Web%20Sites/kbDoc/html.spiderthemes-demos.com/kbdoc/kbdoc-html/assets/elagent-icon/style.css	(from https://html.spiderthemes-demos.com/kbdoc/kbdoc-html/index.html)
12:15:26	82619/82619	---M-Z	200	added ('OK')	text/css	date:Wed,%2029%20Jul%202020%2005:37:46%20GMT	https://html.spiderthemes-demos.com/kbdoc/kbdoc-html/assets/animation/animate.css	D:/My%20Web%20Sites/kbDoc/html.spiderthemes-demos.com/kbdoc/kbdoc-html/assets/animation/animate.css	(from https://html.spiderthemes-demos.com/kbdoc/kbdoc-html/index.html)
12:15:26	197570/197570	---M-Z	200	added ('OK')	text/css	date:Fri,%2012%20Feb%202021%2000:18:50%20GMT	https://html.spiderthemes-demos.com/kbdoc/kbdoc-html/css/style.css	D:/My%20Web%20Sites/kbDoc/html.spiderthemes-demos.com/kbdoc/kbdoc-html/css/style.css	(from https://html.spiderthemes-demos.com/kbdoc/kbdoc-html/index.html)
12:15:26	37963/37963	---M-Z	200	added ('OK')	text/css	date:Sun,%2016%20Aug%202020%2006:53:16%20GMT	https://html.spiderthemes-demos.com/kbdoc/kbdoc-html/css/responsive.css	D:/My%20Web%20Sites/kbDoc/html.spiderthemes-demos.com/kbdoc/kbdoc-html/css/responsive.css	(from https://html.spiderthemes-demos.com/kbdoc/kbdoc-html/index.html)
12:15:26	2618/2618	---M--	200	added ('OK')	image/png	date:Sat,%2014%20Nov%202020%2019:31:40%20GMT	https://html.spiderthemes-demos.com/kbdoc/kbdoc-html/img/spinner_logo.png	D:/My%20Web%20Sites/kbDoc/html.spiderthemes-demos.com/kbdoc/kbdoc-html/img/spinner_logo.png	(from https://html.spiderthemes-demos.com/kbdoc/kbdoc-html/index.html)
12:15:27	7306/7306	---M--	200	added ('OK')	image/png	date:Sat,%2014%20Nov%202020%2008:13:18%20GMT	https://html.spiderthemes-demos.com/kbdoc/kbdoc-html/img/logo.png	D:/My%20Web%20Sites/kbDoc/html.spiderthemes-demos.com/kbdoc/kbdoc-html/img/logo.png	(from https://html.spiderthemes-demos.com/kbdoc/kbdoc-html/index.html)
