date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:39:51	6053/6053	---M-Z	200	added ('OK')	text/html	date:Sun,%2028%20Nov%202021%2001:53:10%20GMT	https://affixtheme.com/html/xmee/demo/login-33.html	D:/My%20Web%20Sites/login%20html/affixtheme.com/html/xmee/demo/login-33.html	(from )
09:39:52	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2011%20Mar%202023%2002:39:52%20GMT	https://affixtheme.com/robots.txt		(from )
09:39:52	975/975	---M--	200	added ('OK')	image/png	date:Sun,%2014%20Nov%202021%2003:40:36%20GMT	https://affixtheme.com/html/xmee/demo/img/logo-33.png	D:/My%20Web%20Sites/login%20html/affixtheme.com/html/xmee/demo/img/logo-33.png	(from https://affixtheme.com/html/xmee/demo/login-33.html)
09:39:52	431/431	U-----	200	untouched ('')	image/png	date:Thu,%2010%20Dec%202020%2004:16:14%20GMT	https://affixtheme.com/html/xmee/demo/img/favicon.png	D:/My%20Web%20Sites/login%20html/affixtheme.com/html/xmee/demo/img/favicon.png	(from https://affixtheme.com/html/xmee/demo/login-33.html)
09:39:52	6590/6590	---M-Z	200	added ('OK')	text/html	date:Mon,%2006%20Dec%202021%2019:26:04%20GMT	https://affixtheme.com/html/xmee/demo/register-33.html	D:/My%20Web%20Sites/login%20html/affixtheme.com/html/xmee/demo/register-33.html	(from https://affixtheme.com/html/xmee/demo/login-33.html)
09:39:52	163873/163873	U-----	200	untouched ('OK')	text/css	date:Thu,%2025%20Nov%202021%2023:33:52%20GMT	https://affixtheme.com/html/xmee/demo/css/bootstrap.min.css	D:/My%20Web%20Sites/login%20html/affixtheme.com/html/xmee/demo/css/bootstrap.min.css	(from https://affixtheme.com/html/xmee/demo/login-33.html)
09:39:53	4260/4260	---M-Z	200	added ('OK')	text/html	date:Mon,%2006%20Dec%202021%2019:25:20%20GMT	https://affixtheme.com/html/xmee/demo/forgot-password-33.html	D:/My%20Web%20Sites/login%20html/affixtheme.com/html/xmee/demo/forgot-password-33.html	(from https://affixtheme.com/html/xmee/demo/login-33.html)
09:40:04	190289/190289	U-----	200	untouched ('OK')	text/css	date:Thu,%2010%20Dec%202020%2004:16:14%20GMT	https://affixtheme.com/html/xmee/demo/css/fontawesome-all.min.css	D:/My%20Web%20Sites/login%20html/affixtheme.com/html/xmee/demo/css/fontawesome-all.min.css	(from https://affixtheme.com/html/xmee/demo/login-33.html)
09:40:04	1674/1674	U-----	200	untouched ('OK')	text/css	date:Thu,%2010%20Dec%202020%2004:16:14%20GMT	https://affixtheme.com/html/xmee/demo/font/flaticon.css	D:/My%20Web%20Sites/login%20html/affixtheme.com/html/xmee/demo/font/flaticon.css	(from https://affixtheme.com/html/xmee/demo/login-33.html)
09:40:05	402138/402138	U-----	200	untouched ('OK')	text/css	date:Mon,%2006%20Dec%202021%2023:08:48%20GMT	https://affixtheme.com/html/xmee/demo/style.css	D:/My%20Web%20Sites/login%20html/affixtheme.com/html/xmee/demo/style.css	(from https://affixtheme.com/html/xmee/demo/login-33.html)
09:40:05	129057/129057	U-----	200	untouched ('')	application/javascript	date:Thu,%2010%20Dec%202020%2004:16:40%20GMT	https://affixtheme.com/html/xmee/demo/js/jquery-3.5.0.min.js	D:/My%20Web%20Sites/login%20html/affixtheme.com/html/xmee/demo/js/jquery-3.5.0.min.js	(from https://affixtheme.com/html/xmee/demo/login-33.html)
